Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"Population, total",SP.POP.TOTL,"54,211.00","55,438.00","56,225.00","56,695.00","57,032.00","57,360.00","57,715.00","58,055.00","58,386.00","58,726.00","59,063.00","59,440.00","59,840.00","60,243.00","60,528.00","60,657.00","60,586.00","60,366.00","60,103.00","59,980.00","60,096.00","60,567.00","61,345.00","62,201.00","62,836.00","63,026.00","62,644.00","61,833.00","61,079.00","61,032.00","62,149.00","64,622.00","68,235.00","72,504.00","76,700.00","80,324.00","83,200.00","85,451.00","87,277.00","89,005.00","90,853.00","92,898.00","94,992.00","97,017.00","98,737.00","100,031.00","100,834.00","101,222.00","101,358.00","101,455.00","101,669.00","102,046.00","102,560.00","103,159.00","103,774.00","104,341.00","104,872.00","105,366.00","105,845.00",
Afghanistan,AFG,"Population, total",SP.POP.TOTL,"8,996,973.00","9,169,410.00","9,351,441.00","9,543,205.00","9,744,781.00","9,956,320.00","10,174,836.00","10,399,926.00","10,637,063.00","10,893,776.00","11,173,642.00","11,475,445.00","11,791,215.00","12,108,963.00","12,412,950.00","12,689,160.00","12,943,093.00","13,171,306.00","13,341,198.00","13,411,056.00","13,356,511.00","13,171,673.00","12,882,528.00","12,537,730.00","12,204,292.00","11,938,208.00","11,736,179.00","11,604,534.00","11,618,005.00","11,868,877.00","12,412,308.00","13,299,017.00","14,485,546.00","15,816,603.00","17,075,727.00","18,110,657.00","18,853,437.00","19,357,126.00","19,737,765.00","20,170,844.00","20,779,953.00","21,606,988.00","22,600,770.00","23,680,871.00","24,726,684.00","25,654,277.00","26,433,049.00","27,100,536.00","27,722,276.00","28,394,813.00","29,185,507.00","30,117,413.00","31,161,376.00","32,269,589.00","33,370,794.00","34,413,603.00","35,383,128.00","36,296,400.00","37,172,386.00",
Angola,AGO,"Population, total",SP.POP.TOTL,"5,454,933.00","5,531,472.00","5,608,539.00","5,679,458.00","5,735,044.00","5,770,570.00","5,781,214.00","5,774,243.00","5,771,652.00","5,803,254.00","5,890,365.00","6,040,777.00","6,248,552.00","6,496,962.00","6,761,380.00","7,024,000.00","7,279,509.00","7,533,735.00","7,790,707.00","8,058,067.00","8,341,289.00","8,640,446.00","8,952,950.00","9,278,096.00","9,614,754.00","9,961,997.00","10,320,111.00","10,689,250.00","11,068,050.00","11,454,777.00","11,848,386.00","12,248,901.00","12,657,366.00","13,075,049.00","13,503,747.00","13,945,206.00","14,400,719.00","14,871,570.00","15,359,601.00","15,866,869.00","16,395,473.00","16,945,753.00","17,519,417.00","18,121,479.00","18,758,145.00","19,433,602.00","20,149,901.00","20,905,363.00","21,695,634.00","22,514,281.00","23,356,246.00","24,220,661.00","25,107,931.00","26,015,780.00","26,941,779.00","27,884,381.00","28,842,484.00","29,816,748.00","30,809,762.00",
Albania,ALB,"Population, total",SP.POP.TOTL,"1,608,800.00","1,659,800.00","1,711,319.00","1,762,621.00","1,814,135.00","1,864,791.00","1,914,573.00","1,965,598.00","2,022,272.00","2,081,695.00","2,135,479.00","2,187,853.00","2,243,126.00","2,296,752.00","2,350,124.00","2,404,831.00","2,458,526.00","2,513,546.00","2,566,266.00","2,617,832.00","2,671,997.00","2,726,056.00","2,784,278.00","2,843,960.00","2,904,429.00","2,964,762.00","3,022,635.00","3,083,605.00","3,142,336.00","3,227,943.00","3,286,542.00","3,266,790.00","3,247,039.00","3,227,287.00","3,207,536.00","3,187,784.00","3,168,033.00","3,148,281.00","3,128,530.00","3,108,778.00","3,089,027.00","3,060,173.00","3,051,010.00","3,039,616.00","3,026,939.00","3,011,487.00","2,992,547.00","2,970,017.00","2,947,314.00","2,927,519.00","2,913,021.00","2,905,195.00","2,900,401.00","2,895,092.00","2,889,104.00","2,880,703.00","2,876,101.00","2,873,457.00","2,866,376.00",
Andorra,AND,"Population, total",SP.POP.TOTL,"13,411.00","14,375.00","15,370.00","16,412.00","17,469.00","18,549.00","19,647.00","20,758.00","21,890.00","23,058.00","24,276.00","25,559.00","26,892.00","28,232.00","29,520.00","30,705.00","31,777.00","32,771.00","33,737.00","34,818.00","36,067.00","37,500.00","39,114.00","40,867.00","42,706.00","44,600.00","46,517.00","48,455.00","50,434.00","52,448.00","54,509.00","56,671.00","58,888.00","60,971.00","62,677.00","63,850.00","64,360.00","64,327.00","64,142.00","64,370.00","65,390.00","67,341.00","70,049.00","73,182.00","76,244.00","78,867.00","80,993.00","82,684.00","83,862.00","84,463.00","84,449.00","83,747.00","82,427.00","80,774.00","79,213.00","78,011.00","77,297.00","77,001.00","77,006.00",
Arab World,ARB,"Population, total",SP.POP.TOTL,"92,197,753.00","94,724,510.00","97,334,442.00","100,034,179.00","102,832,760.00","105,736,431.00","108,758,610.00","111,899,364.00","115,136,178.00","118,437,195.00","121,785,650.00","125,164,745.00","128,598,734.00","132,161,298.00","135,952,252.00","140,040,649.00","144,453,278.00","149,161,891.00","154,111,175.00","159,218,552.00","164,420,785.00","169,698,994.00","175,061,792.00","180,505,996.00","186,035,305.00","191,650,331.00","197,338,142.00","203,084,971.00","208,889,682.00","214,753,970.00","222,653,373.00","228,731,685.00","232,956,352.00","239,243,261.00","245,449,409.00","253,107,289.00","259,000,953.00","264,822,188.00","270,575,803.00","276,393,837.00","282,344,154.00","288,432,163.00","294,665,185.00","301,113,849.00","307,862,843.00","314,965,793.00","322,452,754.00","330,290,716.00","338,395,961.00","346,629,220.00","354,890,042.00","363,158,703.00","371,443,547.00","379,705,719.00","387,907,748.00","396,028,278.00","404,024,433.00","411,898,965.00","419,790,588.00",
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,"92,418.00","100,796.00","112,118.00","125,130.00","138,039.00","149,857.00","159,976.00","169,771.00","182,627.00","203,106.00","234,514.00","277,471.00","330,974.00","394,624.00","467,451.00","548,301.00","637,922.00","735,344.00","835,508.00","931,749.00","1,019,509.00","1,096,610.00","1,164,806.00","1,228,459.00","1,293,971.00","1,366,164.00","1,446,380.00","1,533,536.00","1,627,066.00","1,725,681.00","1,828,432.00","1,937,153.00","2,052,891.00","2,173,139.00","2,294,385.00","2,415,090.00","2,539,126.00","2,671,362.00","2,813,214.00","2,966,034.00","3,134,062.00","3,302,719.00","3,478,777.00","3,711,932.00","4,068,570.00","4,588,225.00","5,300,174.00","6,168,838.00","7,089,487.00","7,917,372.00","8,549,988.00","8,946,777.00","9,141,596.00","9,197,910.00","9,214,175.00","9,262,900.00","9,360,980.00","9,487,203.00","9,630,959.00",
Argentina,ARG,"Population, total",SP.POP.TOTL,"20,481,779.00","20,817,266.00","21,153,052.00","21,488,912.00","21,824,425.00","22,159,650.00","22,494,035.00","22,828,869.00","23,168,267.00","23,517,611.00","23,880,561.00","24,259,561.00","24,653,175.00","25,056,478.00","25,462,302.00","25,865,776.00","26,264,681.00","26,661,398.00","27,061,047.00","27,471,036.00","27,896,528.00","28,338,515.00","28,794,548.00","29,262,047.00","29,737,093.00","30,216,279.00","30,698,964.00","31,184,415.00","31,668,949.00","32,148,134.00","32,618,651.00","33,079,000.00","33,529,326.00","33,970,111.00","34,402,672.00","34,828,170.00","35,246,374.00","35,657,429.00","36,063,459.00","36,467,218.00","36,870,787.00","37,275,652.00","37,681,749.00","38,087,868.00","38,491,972.00","38,892,931.00","39,289,878.00","39,684,295.00","40,080,160.00","40,482,788.00","40,788,453.00","41,261,490.00","41,733,271.00","42,202,935.00","42,669,500.00","43,131,966.00","43,590,368.00","44,044,811.00","44,494,502.00",
Armenia,ARM,"Population, total",SP.POP.TOTL,"1,874,121.00","1,941,492.00","2,009,526.00","2,077,578.00","2,145,001.00","2,211,319.00","2,276,034.00","2,339,127.00","2,401,143.00","2,462,928.00","2,525,068.00","2,587,708.00","2,650,486.00","2,712,786.00","2,773,748.00","2,832,759.00","2,889,579.00","2,944,383.00","2,997,417.00","3,049,109.00","3,099,754.00","3,148,096.00","3,193,689.00","3,238,595.00","3,285,599.00","3,335,940.00","3,392,264.00","3,451,947.00","3,504,659.00","3,536,474.00","3,538,171.00","3,505,258.00","3,442,817.00","3,363,108.00","3,283,667.00","3,217,348.00","3,168,221.00","3,133,089.00","3,108,687.00","3,089,022.00","3,069,591.00","3,050,687.00","3,033,978.00","3,017,932.00","3,000,720.00","2,981,269.00","2,958,307.00","2,932,618.00","2,907,618.00","2,888,092.00","2,877,319.00","2,876,538.00","2,884,229.00","2,897,584.00","2,912,403.00","2,925,553.00","2,936,146.00","2,944,809.00","2,951,776.00",
American Samoa,ASM,"Population, total",SP.POP.TOTL,"20,123.00","20,602.00","21,253.00","22,034.00","22,854.00","23,672.00","24,462.00","25,248.00","25,989.00","26,703.00","27,363.00","27,984.00","28,567.00","29,100.00","29,596.00","30,052.00","30,456.00","30,838.00","31,269.00","31,845.00","32,646.00","33,701.00","34,968.00","36,412.00","37,946.00","39,519.00","41,119.00","42,740.00","44,343.00","45,894.00","47,347.00","48,685.00","49,896.00","51,020.00","52,095.00","53,161.00","54,211.00","55,221.00","56,171.00","57,053.00","57,821.00","58,494.00","59,080.00","59,504.00","59,681.00","59,562.00","59,107.00","58,365.00","57,492.00","56,683.00","56,079.00","55,759.00","55,667.00","55,713.00","55,791.00","55,812.00","55,741.00","55,620.00","55,465.00",
