Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,"405,463,417.10","487,602,457.70","596,423,607.10","695,304,363.00","764,887,117.20","872,138,730.80","958,463,200.20","1,082,979,708.00","1,245,688,253.00","1,320,474,860.00","1,379,960,894.00","1,531,944,134.00","1,665,100,559.00","1,722,798,883.00","1,873,452,514.00","1,920,111,732.00","1,941,340,782.00","2,021,229,050.00","2,228,491,620.00","2,330,726,257.00","2,424,581,006.00","2,615,083,799.00","2,745,251,397.00","2,498,882,682.00","2,390,502,793.00","2,549,720,670.00","2,534,636,872.00","2,581,564,246.00","2,649,720,670.00","2,691,620,112.00","2,646,927,374.00","2,700,558,659.00",,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,"537,777,811.10","548,888,895.60","546,666,677.80","751,111,191.10","800,000,044.40","1,006,666,638.00","1,399,999,967.00","1,673,333,418.00","1,373,333,367.00","1,408,888,922.00","1,748,886,596.00","1,831,108,971.00","1,595,555,476.00","1,733,333,264.00","2,155,555,498.00","2,366,666,616.00","2,555,555,567.00","2,953,333,418.00","3,300,000,109.00","3,697,940,410.00","3,641,723,322.00","3,478,787,909.00",,,,,,,,,,,,,,,,,,,,,"4,055,176,933.00","4,515,563,414.00","5,226,775,163.00","6,209,140,044.00","6,971,286,732.00","9,747,886,105.00","10,109,218,068.00","12,439,087,077.00","15,856,574,731.00","17,804,280,538.00","20,001,615,789.00","20,561,054,090.00","20,484,873,230.00","19,907,111,419.00","19,362,642,267.00","20,191,764,940.00","19,362,969,582.00",
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,"5,930,503,401.00","5,550,483,036.00","5,550,483,036.00","5,784,341,596.00","6,131,475,065.00","7,553,560,459.00","7,072,063,345.00","8,083,872,012.00","8,769,250,550.00","10,201,099,040.00","11,228,764,963.00","10,603,784,541.00","8,307,810,974.00","5,768,720,422.00","4,438,321,017.00","5,538,749,260.00","7,526,446,606.00","7,648,377,413.00","6,506,229,607.00","6,152,922,943.00","9,129,594,819.00","8,936,063,723.00","15,285,594,828.00","17,812,705,294.00","23,552,052,408.00","36,970,918,699.00","52,381,006,892.00","65,266,452,081.00","88,538,611,205.00","70,307,163,678.00","83,799,496,611.00","112,000,000,000.00","128,000,000,000.00","137,000,000,000.00","146,000,000,000.00","116,000,000,000.00","101,000,000,000.00","122,000,000,000.00","106,000,000,000.00",
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,"1,857,338,012.00","1,897,050,133.00","2,097,326,250.00","2,080,796,250.00","2,051,236,250.00","2,253,090,000.00","2,028,553,750.00","1,099,559,028.00","652,174,990.80","1,185,315,468.00","1,880,951,520.00","2,392,764,853.00","3,199,642,580.00","2,258,515,610.00","2,545,967,253.00","3,212,119,044.00","3,480,355,189.00","3,922,099,471.00","4,348,070,165.00","5,611,492,283.00","7,184,681,399.00","8,052,075,642.00","8,896,073,938.00","10,677,321,490.00","12,881,353,985.00","12,044,223,458.00","11,926,962,835.00","12,890,867,536.00","12,319,784,701.00","12,776,277,649.00","13,228,244,336.00","11,386,927,679.00","11,861,353,752.00","13,025,064,967.00","15,102,500,898.00",
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,"78,619,206.09","89,409,820.36","113,408,231.90","150,820,102.80","186,558,696.30","220,127,246.40","227,281,024.60","254,020,153.30","308,008,897.60","411,578,334.20","446,416,105.80","388,958,731.30","375,895,956.40","327,861,832.90","330,070,689.30","346,737,964.80","482,000,594.00","611,316,399.40","721,425,939.20","795,449,332.40","1,029,048,482.00","1,106,928,583.00","1,210,013,652.00","1,007,025,755.00","1,017,549,124.00","1,178,738,991.00","1,223,945,357.00","1,180,597,273.00","1,211,932,398.00","1,239,876,305.00","1,434,429,703.00","1,496,912,752.00","1,733,116,883.00","2,398,645,598.00","2,935,659,300.00","3,255,789,081.00","3,543,256,806.00","4,016,972,351.00","4,007,353,157.00","3,660,530,703.00","3,355,695,364.00","3,442,062,830.00","3,164,615,187.00","3,281,585,236.00","3,350,736,367.00","2,811,489,409.00","2,877,311,947.00","3,013,387,424.00","3,236,543,909.00",
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,"25,783,474,553.00","28,323,904,179.00","31,901,466,301.00","36,922,020,166.00","44,037,818,682.00","55,739,952,569.00","105,000,000,000.00","117,000,000,000.00","145,000,000,000.00","167,000,000,000.00","184,000,000,000.00","249,000,000,000.00","337,000,000,000.00","347,000,000,000.00","326,000,000,000.00","306,000,000,000.00","311,000,000,000.00","307,000,000,000.00","293,000,000,000.00","313,000,000,000.00","308,000,000,000.00","323,000,000,000.00","447,000,000,000.00","440,000,000,000.00","472,000,000,000.00","477,000,000,000.00","488,000,000,000.00","524,000,000,000.00","578,000,000,000.00","613,000,000,000.00","592,000,000,000.00","644,000,000,000.00","735,000,000,000.00","723,000,000,000.00","729,000,000,000.00","823,000,000,000.00","964,000,000,000.00","1,190,000,000,000.00","1,400,000,000,000.00","1,640,000,000,000.00","2,080,000,000,000.00","1,800,000,000,000.00","2,110,000,000,000.00","2,500,000,000,000.00","2,790,000,000,000.00","2,870,000,000,000.00","2,910,000,000,000.00","2,560,000,000,000.00","2,510,000,000,000.00","2,590,000,000,000.00","2,770,000,000,000.00",
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,"14,720,672,507.00","19,213,022,691.00","24,871,775,165.00","23,775,831,783.00","31,225,463,218.00","43,598,748,449.00","49,333,424,135.00","46,622,718,605.00","42,803,323,345.00","41,807,954,236.00","40,603,650,232.00","33,943,612,095.00","36,384,908,744.00","36,275,674,203.00","41,464,995,914.00","50,701,443,748.00","51,552,165,622.00","54,239,171,888.00","55,625,170,253.00","59,305,093,980.00","65,743,666,576.00","73,571,233,996.00","78,839,008,445.00","75,674,336,283.00","84,445,473,111.00","104,000,000,000.00","103,000,000,000.00","110,000,000,000.00","124,000,000,000.00","148,000,000,000.00","181,000,000,000.00","222,000,000,000.00","258,000,000,000.00","315,000,000,000.00","254,000,000,000.00","290,000,000,000.00","351,000,000,000.00","375,000,000,000.00","390,000,000,000.00","403,000,000,000.00","358,000,000,000.00","357,000,000,000.00","378,000,000,000.00","414,000,000,000.00",
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,"24,450,604,878.00","18,272,123,664.00","25,605,249,382.00","28,344,705,967.00","28,630,474,728.00","24,256,667,553.00","26,436,857,247.00","31,256,284,544.00","31,584,210,366.00","33,293,199,095.00","34,733,000,536.00","52,544,000,117.00","72,436,777,342.00","52,438,647,922.00","51,169,499,891.00","56,781,000,101.00","58,082,870,156.00","69,252,328,953.00","76,961,923,742.00","78,676,842,366.00","84,307,486,837.00","104,000,000,000.00","79,092,001,998.00","88,416,668,900.00","111,000,000,000.00","111,000,000,000.00","126,000,000,000.00","76,636,898,036.00","141,000,000,000.00","190,000,000,000.00","229,000,000,000.00","237,000,000,000.00","257,000,000,000.00","258,000,000,000.00","272,000,000,000.00","293,000,000,000.00","299,000,000,000.00","284,000,000,000.00","284,000,000,000.00","269,000,000,000.00","97,724,004,252.00","128,000,000,000.00","165,000,000,000.00","199,000,000,000.00","233,000,000,000.00","288,000,000,000.00","362,000,000,000.00","333,000,000,000.00","424,000,000,000.00","530,000,000,000.00","546,000,000,000.00","552,000,000,000.00","526,000,000,000.00","595,000,000,000.00","558,000,000,000.00","643,000,000,000.00","520,000,000,000.00",
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,256,838,858.00","2,068,526,522.00","1,272,577,456.00","1,201,313,201.00","1,315,158,670.00","1,468,317,350.00","1,596,968,913.00","1,639,492,424.00","1,893,726,437.00","1,845,482,181.00","1,911,563,665.00","2,118,467,913.00","2,376,335,048.00","2,807,061,009.00","3,576,615,240.00","4,900,469,950.00","6,384,451,606.00","9,206,301,700.00","11,662,040,714.00","8,647,936,748.00","9,260,284,938.00","10,142,111,334.00","10,619,320,049.00","11,121,465,767.00","11,609,512,940.00","10,553,337,673.00","10,546,135,160.00","11,527,458,566.00","12,433,089,919.00",
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"514,000,000.00","527,000,000.00","512,000,000.00","503,000,000.00","496,000,000.00","520,000,000.00","563,000,000.00","678,000,000.00","576,000,000.00","574,000,000.00","644,000,000.00","641,000,000.00","642,000,000.00","661,000,000.00","652,000,000.00","602,000,000.00","636,000,000.00",
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,"77,496,753.70","87,879,341.48","109,079,978.90","131,431,026.70","147,841,734.40","164,369,278.90","182,144,093.00","208,372,846.30","240,923,924.80","290,440,140.70","337,174,861.90","398,637,727.80","438,794,788.50","459,469,058.90","481,706,333.30","499,281,148.10","535,172,777.80","589,429,592.60","577,280,740.70","633,730,629.60","680,617,111.10","727,860,592.60","766,198,925.90","830,158,777.80","800,740,259.30","814,615,333.30","855,643,111.10","919,577,148.10","1,022,191,296.00","1,157,005,444.00","1,311,401,333.00","1,368,431,037.00","1,224,253,000.00","1,148,700,000.00","1,137,637,037.00","1,199,948,148.00","1,181,448,148.00","1,249,733,333.00","1,336,692,593.00","1,436,585,185.00","1,467,977,778.00","1,610,574,074.00",
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,"18,577,668,272.00","19,652,816,665.00","19,892,485,161.00","21,507,447,643.00","23,764,139,321.00","25,936,835,032.00","27,268,451,114.00","30,397,580,916.00","32,665,472,057.00","36,628,961,810.00","41,271,138,985.00","45,149,512,823.00","51,967,289,720.00","63,737,347,854.00","88,831,245,394.00","97,170,558,514.00","105,000,000,000.00","110,000,000,000.00","118,000,000,000.00","135,000,000,000.00","150,000,000,000.00","177,000,000,000.00","194,000,000,000.00","177,000,000,000.00","193,000,000,000.00","180,000,000,000.00","182,000,000,000.00","189,000,000,000.00","236,000,000,000.00","299,000,000,000.00","311,000,000,000.00","325,000,000,000.00","325,000,000,000.00","312,000,000,000.00","322,000,000,000.00","367,000,000,000.00","400,000,000,000.00","435,000,000,000.00","399,000,000,000.00","389,000,000,000.00","415,000,000,000.00","378,000,000,000.00","395,000,000,000.00","466,000,000,000.00","612,000,000,000.00","693,000,000,000.00","746,000,000,000.00","853,000,000,000.00","1,050,000,000,000.00","928,000,000,000.00","1,150,000,000,000.00","1,400,000,000,000.00","1,550,000,000,000.00","1,580,000,000,000.00","1,470,000,000,000.00","1,350,000,000,000.00","1,210,000,000,000.00","1,330,000,000,000.00","1,430,000,000,000.00",
